"news.eternal-september.org","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news-eu6.newshosting.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news-eu6.usenetserver.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news.eu.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news-eu.newsgroupdirect.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news-eu.newshosting.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news-europe.giganews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news-eu-ssl.newsgroupdirect.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news-eu.usenetexpress.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news-eu.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.eu.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.eweka.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.extremeusenet.nl","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.fastusenet.org","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.forteinc.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news-fr7.eweka.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.fr7.newshosting.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.fr7.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.frugalusenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.gebruikhet.net","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.giganews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.hitnews.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.iad.newshosting.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.iad.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.i-telligent.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.kpn.nl","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.latinusenet.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.ls.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.maximumusenet.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.newsdemon.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.newsgrabber.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.newsgroupdirect.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.newsgroup.ninja","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.newshosting.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.newsleecher.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news-nl6.newshosting.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news-nl.newsgroup.ninja","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news-nl.newshosting.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.premium-news.de","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.pureusenet.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"newsreader1.eweka.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"newsreader6.eweka.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"newsreader.eweka.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.shemes.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.snelnl.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.solani.org","IPv4-IPv6","TLSv1.2","OK","OK","OK","-","-"
"news.sonic-news.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news-ssl.newsgroupdirect.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.ssl.nl.prepaid-usenet.de","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.ssl.usa.prepaid-usenet.de","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.sslusenet.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.stingyusenet.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.sunnyusenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.supernews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.thecubenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.thundernews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.tweaknews.eu","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.tweaknews.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news-us6.newshosting.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news-us6.usenetserver.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news.us.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.usenetbucket.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.usenetdeal.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.usenetexpress.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.usenet.farm","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.usenetfarm.eu","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.usenetmax.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"news.usenetnow.net","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.usenet.org","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.usenetprime.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.usenext.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.usenext.de","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news-us.newsgroup.ninja","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news-us.newshosting.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news-us.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news-v6.frugalusenet.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"news.vipernews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.xlned.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"news.xs4all.nl","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"news.xsnews.nl","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"newszilla.xs4all.nl","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"nhxl.newshosting.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nl.newsdemon.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"nl.newsgroupdirect.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nl.sslusenet.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"nl.thundernews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nntp10.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nntp1.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nntp2.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nntp3.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nntp4.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nntp6.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nntp7.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nntp8.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nntp9.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"nntp.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"post6.eweka.nl","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"post.eweka.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"power2.usenet.nl","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"power.freediscussions.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"power.usenet.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"pro.sslusenet.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"proxy.news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"reader2.newsxs.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"reader443.eternal-september.org","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.5eurousenet.com","IPv4-only","TLSv1.2","OK","OK","OK","-","-"
"reader6.newsxs.nl","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"reader6.xlned.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"reader80.eternal-september.org","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.easyusenet.nl","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.extremeusenet.nl","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.high-way.me","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader-intern.xsnews.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"reader.i-telligent.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"reader.i-telligent.net","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"reader.simply-premium.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.snelnl.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.turbousenet.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.usenet.agency","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.usenetbucket.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.usenetdiscounter.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.usenight.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.xsnews.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"reader.xsnews.nl","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"sanews.frugalusenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"sanews-v6.frugalusenet.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"secure6.news.easynews.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"secure6.news.eu.easynews.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"secure6.news.us.easynews.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"secure-beta-eu.news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"securebeta.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure-beta-us.news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure-eu.news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure.europe.thecubenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure.eu.thundernews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure.fastusenet.org","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure.news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure.news.eu.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure.newsgroup-binaries.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"secure.news.thecubenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure.nl.thundernews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure-us.news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"secure.us.thundernews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"ssl.astraweb.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"ssl-eu.astraweb.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"ssl.hitnews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"ssl-news2.snelnl.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"ssl-news.snelnl.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"sslreader.eweka.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"ssl-us.astraweb.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"ssl.usenet-access.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"ssl.xlvonline.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"super.newsgroupdirect.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"tele2.sslusenet.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"test-eu-ipv4.news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"test-eu-ipv6.news.easynews.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"test-eu.news.easynews.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"test-secure-eu-ipv4.news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"test-secure-eu-ipv6.news.easynews.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"test-secure-eu.news.easynews.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"test-secure-us-ipv4.news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"test-secure-us-ipv6.news.easynews.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"test-secure-us.news.easynews.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"test.usenetserver.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"test-us-ipv4.news.easynews.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"test-us-ipv6.news.easynews.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"test-us.news.easynews.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"test.xsnews.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
"textnews.eweka.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"unlimited.newshosting.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"upload.eweka.nl","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"us6.astraweb.com","IPv6-only","TLSv1.3","OK","OK","OK","-","-"
"us.astraweb.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"us.bintube.com","IPv4-only","TLSv1.3","OK","OK","OK","-","-"
"useast.maximumusenet.com","IPv4-IPv6","TLSv1.3","OK","OK","OK","-","-"
